"asset_id","name","market_price","interest_rate","maturity_date"
"SG31A7000004","NA16100H 20-year","100.24","2.730","2046-03-01"
"SG31A8000003","NX16100F 2-year","99.53","2.520","2026-02-01"
"SG3263998209","NY14100E 5-Year","101.42","2.520","2029-07-01"
"SG7J60932174","NZ07100S 2-Year","101.94","2.470","2027-03-01"
"SGXF12888537","N521100V 2-Year","98.02","2.510","2026-11-01"
"SGXF13029610","NZ19100S 15-Year","95.81","2.730","2039-07-01"
"SGXF25686589","NX25100H 10-Year","100.77","2.660","2035-03-01"
"SGXF47639806","NC22300W 50-Year","105.22","2.800","2072-08-01"
"SGXF51035222","N523100W 5-Year","101.25","2.490","2028-08-01"
"SGXF75438295","NX24100T 10-year","105.77","2.660","2034-05-01"
